DIRECCION_SECCIONAL,TIPO_MPUESTO,VALOR
GRANDES CONTRIBUYENTES BOGOTA,POR CLASIFICAR, 4.943 
IBAGUE,RENTA CUOTAS, 84.332 
IBAGUE,IVA DECLARACIONES, 172.222 
IBAGUE,RETENCIONES, 213.768 
IBAGUE,EXTERNOS, 20 
IBAGUE,SEGURIDAD DEMOCRATICA, 0  
GIRARDOT,PATRIMONIO, 18 
PALMIRA,RIQUEZA, 1.785 
IBAGUE,PRECIOS DE TRANSFERENCIA, 0  
IBAGUE,GMF, 304 
IBAGUE,CONSUMO, 17.957 
IBAGUE,GASOLINA Y ACPM, 0  
IBAGUE,CREE RETENCIONES, 117 
IBAGUE,CREE DECLARACIONES, 668 
IBAGUE,AL CARBONO, 0  
IBAGUE,POR CLASIFICAR, 610 
IMPUESTOS BOGOTA,RENTA CUOTAS, 3.290.485 
IMPUESTOS BOGOTA,IVA DECLARACIONES, 7.139.742 
IMPUESTOS BOGOTA,RETENCIONES, 8.050.435 
IMPUESTOS BOGOTA,EXTERNOS, 0  
IMPUESTOS BOGOTA,SEGURIDAD DEMOCRATICA, 9 
QUIBDO,PATRIMONIO, 16 
NEIVA,RIQUEZA, 1.550 
IMPUESTOS BOGOTA,PRECIOS DE TRANSFERENCIA, 2.386 
IMPUESTOS BOGOTA,GMF, 63.755 
IMPUESTOS BOGOTA,CONSUMO, 399.924 
IMPUESTOS BOGOTA,GASOLINA Y ACPM, 3 
IMPUESTOS BOGOTA,CREE RETENCIONES, 6.463 
IMPUESTOS BOGOTA,CREE DECLARACIONES, 57.811 
IMPUESTOS BOGOTA,AL CARBONO, 541 
IMPUESTOS BOGOTA,POR CLASIFICAR, 39.432 
INIRIDA,RENTA CUOTAS, 1.383 
INIRIDA,IVA DECLARACIONES, 805 
INIRIDA,RETENCIONES, 4.178 
INIRIDA,EXTERNOS, 13 
INIRIDA,SEGURIDAD DEMOCRATICA, 0  
RIOHACHA,PATRIMONIO, 11 
SANTA MARTA,RIQUEZA, 1.517 
INIRIDA,PRECIOS DE TRANSFERENCIA, 0  
INIRIDA,GMF, 49 
INIRIDA,CONSUMO, 36 
INIRIDA,GASOLINA Y ACPM, 0  
INIRIDA,CREE RETENCIONES, 0  
INIRIDA,CREE DECLARACIONES, 0 
INIRIDA,AL CARBONO, 0  
INIRIDA,POR CLASIFICAR, 9 
IPIALES,RENTA CUOTAS, 0  
IPIALES,IVA DECLARACIONES, 0  
IPIALES,RETENCIONES, 0  
IPIALES,EXTERNOS, 258.396 
IPIALES,SEGURIDAD DEMOCRATICA, 0  
IBAGUE,PATRIMONIO, 10 
SOGAMOSO,RIQUEZA, 1.409 
IPIALES,PRECIOS DE TRANSFERENCIA, 0  
IPIALES,GMF, 0  
IPIALES,CONSUMO, 0  
IPIALES,GASOLINA Y ACPM, 0  
IPIALES,CREE RETENCIONES, 0  
IPIALES,CREE DECLARACIONES, 0  
IPIALES,AL CARBONO, 0  
IPIALES,POR CLASIFICAR, 0  
LETICIA,RENTA CUOTAS, 6.074 
LETICIA,IVA DECLARACIONES, 33 
LETICIA,RETENCIONES, 8.365 
LETICIA,EXTERNOS, 119 
LETICIA,SEGURIDAD DEMOCRATICA, 0  
YOPAL,PATRIMONIO, 7 
SINCELEJO,RIQUEZA, 1.296 
LETICIA,PRECIOS DE TRANSFERENCIA, 0  
LETICIA,GMF, 1 
LETICIA,CONSUMO, 0 
LETICIA,GASOLINA Y ACPM, 0  
LETICIA,CREE RETENCIONES, 143 
LETICIA,CREE DECLARACIONES, 14 
LETICIA,AL CARBONO, 95 
LETICIA,POR CLASIFICAR, 450 
MAICAO,RENTA CUOTAS, 0  
MAICAO,IVA DECLARACIONES, 0  
MAICAO,RETENCIONES, 0  
MAICAO,EXTERNOS, 14.971 
MAICAO,SEGURIDAD DEMOCRATICA, 0  
BARRANCABERMEJA,PATRIMONIO, 5 
YOPAL,RIQUEZA, 1.128 
MAICAO,PRECIOS DE TRANSFERENCIA, 0  
MAICAO,GMF, 0  
MAICAO,CONSUMO, 0  
MAICAO,GASOLINA Y ACPM, 0  
MAICAO,CREE RETENCIONES, 0  
MAICAO,CREE DECLARACIONES, 0  
MAICAO,AL CARBONO, 0  
MAICAO,POR CLASIFICAR, 0  
MANIZALES,RENTA CUOTAS, 153.276 
MANIZALES,IVA DECLARACIONES, 293.918 
MANIZALES,RETENCIONES, 406.125 
MANIZALES,EXTERNOS, 6.580 
MANIZALES,SEGURIDAD DEMOCRATICA, 1 
MANIZALES,PATRIMONIO, 4 
TUNJA,RIQUEZA, 998 
MANIZALES,PRECIOS DE TRANSFERENCIA, 0  
MANIZALES,GMF, 409 
MANIZALES,CONSUMO, 28.699 
MANIZALES,GASOLINA Y ACPM, 0  
MANIZALES,CREE RETENCIONES, 14 
MANIZALES,CREE DECLARACIONES, 1.388 
MANIZALES,AL CARBONO, 0  
MANIZALES,POR CLASIFICAR, 614 
MEDELLIN,RENTA CUOTAS, 2.190.293 
MEDELLIN,IVA DECLARACIONES, 5.271.618 
MEDELLIN,RETENCIONES, 8.473.248 
MEDELLIN,EXTERNOS, 0  
MEDELLIN,SEGURIDAD DEMOCRATICA, 5 
SINCELEJO,PATRIMONIO, 2 
GIRARDOT,RIQUEZA, 827 
MEDELLIN,PRECIOS DE TRANSFERENCIA, 164 
MEDELLIN,GMF, 2.924.423 
MEDELLIN,CONSUMO, 318.895 
MEDELLIN,GASOLINA Y ACPM, 0 
MEDELLIN,CREE RETENCIONES, 1.487 
MEDELLIN,CREE DECLARACIONES, 6.754 
MEDELLIN,AL CARBONO, 5 
MEDELLIN,POR CLASIFICAR, 5.895 
MITU,RENTA CUOTAS, 495 
MITU,IVA DECLARACIONES, 277 
MITU,RETENCIONES, 2.954 
MITU,EXTERNOS, 0  
MITU,SEGURIDAD DEMOCRATICA, 0  
VALLEDUPAR,PATRIMONIO, 2 
SAN ANDRES,RIQUEZA, 688 
MITU,PRECIOS DE TRANSFERENCIA, 0  
MITU,GMF, 0  
MITU,CONSUMO, 7 
MITU,GASOLINA Y ACPM, 0  
MITU,CREE RETENCIONES, 0  
MITU,CREE DECLARACIONES, 0  
MITU,AL CARBONO, 0  
MITU,POR CLASIFICAR, 0 
MONTERIA,RENTA CUOTAS, 62.665 
MONTERIA,IVA DECLARACIONES, 96.903 
MONTERIA,RETENCIONES, 176.414 
MONTERIA,EXTERNOS, 8 
MONTERIA,SEGURIDAD DEMOCRATICA, 0  
PUERTO ASIS,PATRIMONIO, 0 
BARRANCABERMEJA,RIQUEZA, 674 
MONTERIA,PRECIOS DE TRANSFERENCIA, 0  
MONTERIA,GMF, 0  
MONTERIA,CONSUMO, 10.642 
MONTERIA,GASOLINA Y ACPM, 0  
MONTERIA,CREE RETENCIONES, 45 
MONTERIA,CREE DECLARACIONES, 1.464 
MONTERIA,AL CARBONO, 0  
MONTERIA,POR CLASIFICAR, 825 
NEIVA,RENTA CUOTAS, 91.367 
NEIVA,IVA DECLARACIONES, 165.921 
NEIVA,RETENCIONES, 254.794 
NEIVA,EXTERNOS, 2 
NEIVA,SEGURIDAD DEMOCRATICA, 0  
BUENAVENTURA,PATRIMONIO, 0 
FLORENCIA,RIQUEZA, 575 
NEIVA,PRECIOS DE TRANSFERENCIA, 0  
NEIVA,GMF, 3.657 
NEIVA,CONSUMO, 10.442 
NEIVA,GASOLINA Y ACPM, 0  
NEIVA,CREE RETENCIONES, 69 
NEIVA,CREE DECLARACIONES, 436 
NEIVA,AL CARBONO, 0  
NEIVA,POR CLASIFICAR, 927 
PALMIRA,RENTA CUOTAS, 151.666 
PALMIRA,IVA DECLARACIONES, 253.212 
PALMIRA,RETENCIONES, 322.004 
PALMIRA,EXTERNOS, 0  
PALMIRA,SEGURIDAD DEMOCRATICA, 0  
SANTA MARTA,PATRIMONIO, 0 
QUIBDO,RIQUEZA, 466 
PALMIRA,PRECIOS DE TRANSFERENCIA, 6 
PALMIRA,GMF, 887 
PALMIRA,CONSUMO, 4.878 
PALMIRA,GASOLINA Y ACPM, 0  
PALMIRA,CREE RETENCIONES, 82 
PALMIRA,CREE DECLARACIONES, 558 
PALMIRA,AL CARBONO, 27 
PALMIRA,POR CLASIFICAR, 316 
PASTO,RENTA CUOTAS, 72.684 
PASTO,IVA DECLARACIONES, 94.279 
PASTO,RETENCIONES, 205.339 
PASTO,EXTERNOS, 206 
PASTO,SEGURIDAD DEMOCRATICA, 0  
ADUANAS BARRANQUILLA,PATRIMONIO, 0  
RIOHACHA,RIQUEZA, 420 
PASTO,PRECIOS DE TRANSFERENCIA, 0  
PASTO,GMF, 152 
PASTO,CONSUMO, 18.877 
PASTO,GASOLINA Y ACPM, 0  
PASTO,CREE RETENCIONES, 32 
PASTO,CREE DECLARACIONES, 249 
PASTO,AL CARBONO, 0  
PASTO,POR CLASIFICAR, 1.308 
