FECHA;INCIDENTE;CANT_INCIDENTES
Formula1;RESCATES MONTAÑA;
Formula1;RESTOS HUMANOS;
Formula1;SANGRADO VAGINAL;
Formula1;SISMO;
Formula1;VEHÍCULO RECUPERADO;
Jan 1 2014;ACCIÓN SUBVERSIVA;1
Jan 1 2014;INCENDIO EN AERONAVE;1
Jan 1 2014;PREVENCIÓN;1
Jan 1 2014;SISMO;2
Jan 1 2014;RESCATES MONTAÑA;4
Jan 1 2014;ABORTO;7
Jan 1 2014;RESTOS HUMANOS;10
Jan 1 2014;DESLIZAMIENTO;11
Jan 1 2014;INCIDENTE RESCATE ACUÁTICO;14
Jan 1 2014;INCENDIO CON MATPEL;35
Jan 1 2014;ELECTROCUCIÓN / RESCATE;42
Jan 1 2014;AMENAZA DE RUINA;44
Jan 1 2014;VEHÍCULO RECUPERADO;63
Jan 1 2014;QUEMADURAS;75
Jan 1 2014;FUGA DE PRESOS;102
Jan 1 2014;MENOR EN ESTABLECIMIENTO MAYORES;103
Jan 1 2014;HALLAZGO DE EXPLOSIVOS;121
Jan 1 2014;EXPLOSIÓN;129
Jan 1 2015;DESARME;1
Jan 1 2015;SISMO;1
Jan 1 2015;PREVENCIÓN;3
Jan 1 2015;SANGRADO VAGINAL;4
Jan 1 2015;RESCATES MONTAÑA;5
Jan 1 2015;DESLIZAMIENTO;6
Jan 1 2015;RESTOS HUMANOS;10
Jan 1 2015;ABORTO;12
Jan 1 2015;INCIDENTE RESCATE ACUÁTICO;29
Jan 1 2015;ELECTROCUCIÓN / RESCATE;33
Jan 1 2015;INCENDIO CON MATPEL;44
Jan 1 2015;AMENAZA DE RUINA;56
Jan 1 2015;VEHÍCULO RECUPERADO;72
Jan 1 2015;QUEMADURAS;75
Jan 1 2015;EXPLOSIÓN;81
Jan 1 2015;MENOR EN ESTABLECIMIENTO MAYORES;99
Jan 1 2015;FUGA DE PRESOS;103
Jan 1 2015;HALLAZGO DE EXPLOSIVOS;115
Jan 1 2016;SISMO;1
Jan 1 2016;ACCIÓN SUBVERSIVA;2
Jan 1 2016;SANGRADO VAGINAL;4
Jan 1 2016;PREVENCIÓN;5
Jan 1 2016;RESCATES MONTAÑA;7
Jan 1 2016;INCIDENTE RESCATE ACUÁTICO;9
Jan 1 2016;DESLIZAMIENTO;11
Jan 1 2016;ABORTO;19
Jan 1 2016;RESTOS HUMANOS;19
Jan 1 2016;ELECTROCUCIÓN / RESCATE;24
Jan 1 2016;INCENDIO CON MATPEL;37
Jan 1 2016;AMENAZA DE RUINA;51
Jan 1 2016;FUGA DE PRESOS;88
Jan 1 2016;MENOR EN ESTABLECIMIENTO MAYORES;89
Jan 1 2016;VEHÍCULO RECUPERADO;95
Jan 1 2016;QUEMADURAS;98
Jan 1 2016;EXPLOSIÓN;104
Jan 1 2016;HALLAZGO DE EXPLOSIVOS;130
Jan 1 2017;ACCIÓN SUBVERSIVA;1
Jan 1 2017;RESCATES MONTAÑA;2
Jan 1 2017;ABORTO;4
Jan 1 2017;DESLIZAMIENTO;4
Jan 1 2017;RESTOS HUMANOS;12
