FECHA,LOCALIDAD,CANT_INCIDENTES
Dec 1 2016,FONTIBON,13754
Dec 1 2016,KENNEDY,35997
Dec 1 2016,LOS MARTIRES,7354
Dec 1 2016,PUENTE ARANDA,13206
Dec 1 2016,RAFAEL URIBE URIBE,12988
Dec 1 2016,SAN CRISTOBAL,12852
Dec 1 2016,SANTA FE,7819
Dec 1 2016,SIN LOCALIZACION,24582
Dec 1 2016,SUBA,35386
Dec 1 2016,TEUSAQUILLO,8898
Dec 1 2016,TUNJUELITO,7361
Dec 1 2016,USAQUEN,19419
Dec 1 2016,USME,8375
Dec 1 2017,ANTONIO NARINO,5889
Dec 1 2017,BARRIOS UNIDOS,9901
Dec 1 2017,BOSA,21670
Dec 1 2017,CANDELARIA,1645
Dec 1 2017,CHAPINERO,11708
Dec 1 2017,CIUDAD BOLIVAR,21124
Dec 1 2017,ENGATIVA,31707
Dec 1 2017,FONTIBON,14199
Dec 1 2017,KENNEDY,40812
Dec 1 2017,LOS MARTIRES,8167
Dec 1 2017,PUENTE ARANDA,14303
Dec 1 2017,RAFAEL URIBE URIBE,15566
Dec 1 2017,SAN CRISTOBAL,14814
Dec 1 2017,SANTA FE,8064
Dec 1 2017,SIN LOCALIZACION,947
Dec 1 2017,SUBA,40132
Dec 1 2017,TEUSAQUILLO,9671
Dec 1 2017,TUNJUELITO,7795
Dec 1 2017,USAQUEN,22809
Dec 1 2017,USME,9774
Dec 1 2018,ANTONIO NARINO,5360
Dec 1 2018,BARRIOS UNIDOS,8525
Dec 1 2018,BOSA,20193
Dec 1 2018,CANDELARIA,1725
Dec 1 2018,CHAPINERO,11026
Dec 1 2018,CIUDAD BOLIVAR,20896
Dec 1 2018,ENGATIVA,30036
Dec 1 2018,FONTIBON,13663
Dec 1 2018,KENNEDY,35734
Dec 1 2018,LOS MARTIRES,7506
Dec 1 2018,PUENTE ARANDA,12519
Dec 1 2018,RAFAEL URIBE URIBE,13840
Dec 1 2018,SAN CRISTOBAL,13736
Dec 1 2018,SANTA FE,7803
Dec 1 2018,SIN LOCALIZACION,880
Dec 1 2018,SUBA,37220
Dec 1 2018,TEUSAQUILLO,7903
Dec 1 2018,TUNJUELITO,7141
Dec 1 2018,USAQUEN,19988
Dec 1 2018,USME,8582
Feb 1 2014,ANTONIO NARINO,3869
Feb 1 2014,BARRIOS UNIDOS,7682
Feb 1 2014,BOSA,14515
Feb 1 2014,CANDELARIA,1653
Feb 1 2014,CHAPINERO,12145
Feb 1 2014,CIUDAD BOLIVAR,13407
Feb 1 2014,ENGATIVA,24194
Feb 1 2014,FONTIBON,10600
Feb 1 2014,KENNEDY,26456
Feb 1 2014,LOS MARTIRES,5974
Feb 1 2014,PUENTE ARANDA,9630
Feb 1 2014,RAFAEL URIBE URIBE,11475
Feb 1 2014,SAN CRISTOBAL,11501
Feb 1 2014,SANTA FE,7270
Feb 1 2014,SIN LOCALIZACION,1742
Feb 1 2014,SUBA,25609
Feb 1 2014,TEUSAQUILLO,7732
Feb 1 2014,TUNJUELITO,5874
Feb 1 2014,USAQUEN,15496
Feb 1 2014,USME,8634
Feb 1 2015,ANTONIO NARINO,4707
Feb 1 2015,BARRIOS UNIDOS,8471
Feb 1 2015,BOSA,15043
Feb 1 2015,CANDELARIA,1812
Feb 1 2015,CHAPINERO,12375
Feb 1 2015,CIUDAD BOLIVAR,15398
Feb 1 2015,ENGATIVA,26628
Feb 1 2015,FONTIBON,11724
Feb 1 2015,KENNEDY,29329
Feb 1 2015,LOS MARTIRES,6730
Feb 1 2015,PUENTE ARANDA,11127
Feb 1 2015,RAFAEL URIBE URIBE,12759
Feb 1 2015,SAN CRISTOBAL,13072
Feb 1 2015,SANTA FE,8535
Feb 1 2015,SIN LOCALIZACION,821
Feb 1 2015,SUBA,28983
Feb 1 2015,TEUSAQUILLO,9064
Feb 1 2015,TUNJUELITO,6407
Feb 1 2015,USAQUEN,18447
Feb 1 2015,USME,8832
Feb 1 2016,ANTONIO NARINO,5555
Feb 1 2016,BARRIOS UNIDOS,9676
Feb 1 2016,BOSA,17817
Feb 1 2016,CANDELARIA,2173
Feb 1 2016,CHAPINERO,14063
Feb 1 2016,CIUDAD BOLIVAR,17858
Feb 1 2016,ENGATIVA,28508
Feb 1 2016,FONTIBON,14040
Feb 1 2016,KENNEDY,34622
Feb 1 2016,LOS MARTIRES,7358
Feb 1 2016,PUENTE ARANDA,12923
Feb 1 2016,RAFAEL URIBE URIBE,14621
Feb 1 2016,SAN CRISTOBAL,14312
Feb 1 2016,SANTA FE,9885
Feb 1 2016,SIN LOCALIZACION,836
Feb 1 2016,SUBA,33813
Feb 1 2016,TEUSAQUILLO,10323
Feb 1 2016,TUNJUELITO,7486
Feb 1 2016,USAQUEN,21742
Feb 1 2016,USME,9762
Feb 1 2017,ANTONIO NARINO,4624
Feb 1 2017,BARRIOS UNIDOS,8933
Feb 1 2017,BOSA,16400
Feb 1 2017,CANDELARIA,1864
Feb 1 2017,CHAPINERO,13089
Feb 1 2017,CIUDAD BOLIVAR,17069
Feb 1 2017,ENGATIVA,27320
Feb 1 2017,FONTIBON,12090
Feb 1 2017,KENNEDY,32835
Feb 1 2017,LOS MARTIRES,6565
Feb 1 2017,PUENTE ARANDA,11233
Feb 1 2017,RAFAEL URIBE URIBE,12406
Feb 1 2017,SAN CRISTOBAL,11575
Feb 1 2017,SANTA FE,7322
Feb 1 2017,SIN LOCALIZACION,665
Feb 1 2017,SUBA,32737
Feb 1 2017,TEUSAQUILLO,8986
Feb 1 2017,TUNJUELITO,6093
Feb 1 2017,USAQUEN,19687
Feb 1 2017,USME,8686
Feb 1 2018,ANTONIO NARINO,4404
Feb 1 2018,BARRIOS UNIDOS,7536
Feb 1 2018,BOSA,15362
Feb 1 2018,CANDELARIA,1609
Feb 1 2018,CHAPINERO,10931
Feb 1 2018,CIUDAD BOLIVAR,16977
Feb 1 2018,ENGATIVA,24395
Feb 1 2018,FONTIBON,11372
Feb 1 2018,KENNEDY,29806
Feb 1 2018,LOS MARTIRES,6095
Feb 1 2018,PUENTE ARANDA,10394
Feb 1 2018,RAFAEL URIBE URIBE,11538
Feb 1 2018,SAN CRISTOBAL,11292
Feb 1 2018,SANTA FE,6862
Feb 1 2018,SIN LOCALIZACION,475
Feb 1 2018,SUBA,30278
Feb 1 2018,TEUSAQUILLO,8505
Feb 1 2018,TUNJUELITO,5888
Feb 1 2018,USAQUEN,18886
Feb 1 2018,USME,7559
Feb 1 2019,ANTONIO NARINO,3869
Feb 1 2019,BARRIOS UNIDOS,7172
Feb 1 2019,BOSA,15218
Feb 1 2019,CANDELARIA,1476
Feb 1 2019,CHAPINERO,10474
Feb 1 2019,CIUDAD BOLIVAR,15025
Feb 1 2019,ENGATIVA,23465
Feb 1 2019,FONTIBON,10119
Feb 1 2019,KENNEDY,28416
Feb 1 2019,LOS MARTIRES,5540
Feb 1 2019,PUENTE ARANDA,9360
Feb 1 2019,RAFAEL URIBE URIBE,10423
Feb 1 2019,SAN CRISTOBAL,10225
Feb 1 2019,SANTA FE,6167
Feb 1 2019,SIN LOCALIZACION,517
Feb 1 2019,SUBA,28450
Feb 1 2019,TEUSAQUILLO,7027
Feb 1 2019,TUNJUELITO,5283
Feb 1 2019,USAQUEN,16735
Feb 1 2019,USME,6611
Jan 1 2014,ANTONIO NARINO,3796
Jan 1 2014,BARRIOS UNIDOS,6710
Jan 1 2014,BOSA,13437
Jan 1 2014,CANDELARIA,1426
Jan 1 2014,CHAPINERO,9553
Jan 1 2014,CIUDAD BOLIVAR,13799
Jan 1 2014,ENGATIVA,22668
Jan 1 2014,FONTIBON,9519
Jan 1 2014,KENNEDY,23261
Jan 1 2014,LOS MARTIRES,5362
Jan 1 2014,PUENTE ARANDA,9318
Jan 1 2014,RAFAEL URIBE URIBE,11009
Jan 1 2014,SAN CRISTOBAL,11556
Jan 1 2014,SANTA FE,6388
Jan 1 2014,SIN LOCALIZACION,2003
Jan 1 2014,SUBA,24406
Jan 1 2014,TEUSAQUILLO,6501
Jan 1 2014,TUNJUELITO,5514
